route_key	verb	path	controller	action	environment	owner	disposition
GET|/dev/nightwatch/last_login_code|dev/nightwatch|last_login_code	GET	/dev/nightwatch/last_login_code	dev/nightwatch	last_login_code	development	development_only	review
GET|/dev/nightwatch/reset_transient_state|dev/nightwatch|reset_transient_state	GET	/dev/nightwatch/reset_transient_state	dev/nightwatch	reset_transient_state	development	development_only	review
GET|/dev/nightwatch/setup_all_activity_items|dev/nightwatch|setup_all_activity_items	GET	/dev/nightwatch/setup_all_activity_items	dev/nightwatch	setup_all_activity_items	development	development_only	review
GET|/dev/nightwatch/setup_all_notifications|dev/nightwatch|setup_all_notifications	GET	/dev/nightwatch/setup_all_notifications	dev/nightwatch	setup_all_notifications	development	development_only	review
GET|/dev/nightwatch/setup_closed_group_to_join|dev/nightwatch|setup_closed_group_to_join	GET	/dev/nightwatch/setup_closed_group_to_join	dev/nightwatch	setup_closed_group_to_join	development	development_only	review
GET|/dev/nightwatch/setup_closed_group|dev/nightwatch|setup_closed_group	GET	/dev/nightwatch/setup_closed_group	dev/nightwatch	setup_closed_group	development	development_only	review
GET|/dev/nightwatch/setup_comment_with_versions|dev/nightwatch|setup_comment_with_versions	GET	/dev/nightwatch/setup_comment_with_versions	dev/nightwatch	setup_comment_with_versions	development	development_only	review
GET|/dev/nightwatch/setup_dashboard_as_visitor|dev/nightwatch|setup_dashboard_as_visitor	GET	/dev/nightwatch/setup_dashboard_as_visitor	dev/nightwatch	setup_dashboard_as_visitor	development	development_only	review
GET|/dev/nightwatch/setup_dashboard_with_one_thread|dev/nightwatch|setup_dashboard_with_one_thread	GET	/dev/nightwatch/setup_dashboard_with_one_thread	dev/nightwatch	setup_dashboard_with_one_thread	development	development_only	review
GET|/dev/nightwatch/setup_dashboard|dev/nightwatch|setup_dashboard	GET	/dev/nightwatch/setup_dashboard	dev/nightwatch	setup_dashboard	development	development_only	review
